T     E/N       E-var/TT       M/N       M-var/T       Mabs/N       
      2.1500000     -1.6098204      1.1406091     0.83579091      1.8236744     0.83579091
      2.1700000     -1.5857380      1.2486302     0.81795043      2.6223926     0.81795043
      2.1900000     -1.5601917      1.3574043     0.79676422      4.2529942     0.79676422
      2.2100000     -1.5315050      1.5034397     0.76908269      6.9645712     0.76908269
      2.2300000     -1.4997028      1.6850482     0.73265806      11.927475     0.73265806
      2.2500000     -1.4629387      2.0221841     0.47615240      33.603300     0.67204426
      2.2700000     -1.4211630      2.3041992     0.24605205      68.825117     0.58213316
      2.2900000     -1.3739545      2.2964648    0.011537817      101.19667     0.45304501
      2.3100000     -1.3310892      1.9472714    0.038765301      94.039050     0.32762904
      2.3300000     -1.2952619      1.5902242    0.022334467      65.650744     0.24106412
      2.3500000     -1.2663750      1.3913929  -0.0043347541      48.862985     0.19108248
