T     E/N       E-var/TT       M/N       M-var/T       Mabs/N       
      2.1600000     -1.5980175      1.1813258     0.82738063      2.1352902     0.82738063
      2.1800000     -1.5734122      1.3035552     0.80829191      3.1237990     0.80829191
      2.2000000     -1.5470607      1.3954685     0.78577396      4.5158605     0.78577396
      2.2200000     -1.5167143      1.5778919     0.75399588      8.3086878     0.75399588
      2.2400000     -1.4827958      1.8637875     0.62693048      24.802925     0.70705787
      2.2600000     -1.4421876      2.1938694   -0.034849162      57.319791     0.62880373
      2.2800000     -1.3956161      2.3820990    0.074512279      94.851276     0.50834827
      2.3000000     -1.3483335      2.0875592    0.015429096      105.94841     0.36186108
      2.3200000     -1.3113612      1.7331325   -0.069104635      78.978430     0.26892686
      2.3400000     -1.2806643      1.4994367    0.019088262      57.647575     0.21526955
      2.3600000     -1.2525210      1.3119023   0.0090761347      40.897582     0.17329569
